tweet_id,favorite_count,retweet_count,created_at,Character
1072256860818948097,15,0,Mon Dec 10 22:28:51 +0000 2018,Ross
1072256468248944641,0,0,Mon Dec 10 22:27:18 +0000 2018,Ross
1072255535741853696,2,0,Mon Dec 10 22:23:35 +0000 2018,Ross
1072213528797270017,0,0,Mon Dec 10 19:36:40 +0000 2018,Ross
1072212873395326976,0,0,Mon Dec 10 19:34:04 +0000 2018,Ross
1072209600978579456,5,0,Mon Dec 10 19:21:04 +0000 2018,Ross
1072207019988475905,1,0,Mon Dec 10 19:10:48 +0000 2018,Ross
1072194279454502912,0,0,Mon Dec 10 18:20:11 +0000 2018,Ross
1072181659502551041,0,0,Mon Dec 10 17:30:02 +0000 2018,Ross
1072159548310478850,0,0,Mon Dec 10 16:02:10 +0000 2018,Ross
1072158501542223875,0,0,Mon Dec 10 15:58:01 +0000 2018,Ross
1072148424978563072,7,0,Mon Dec 10 15:17:58 +0000 2018,Ross
1072148385745027073,0,1,Mon Dec 10 15:17:49 +0000 2018,Ross
1072133657161281536,3,0,Mon Dec 10 14:19:17 +0000 2018,Ross
1072131812191805440,2,0,Mon Dec 10 14:11:57 +0000 2018,Ross
1072123151134457856,0,0,Mon Dec 10 13:37:32 +0000 2018,Ross
1072122278035505152,0,0,Mon Dec 10 13:34:04 +0000 2018,Ross
1072100126267650048,0,0,Mon Dec 10 12:06:03 +0000 2018,Ross
1072081869183836160,4,0,Mon Dec 10 10:53:30 +0000 2018,Ross
1072054447944187905,1,0,Mon Dec 10 09:04:32 +0000 2018,Ross
1072039298684186624,0,0,Mon Dec 10 08:04:20 +0000 2018,Ross
1072028733060472832,0,0,Mon Dec 10 07:22:21 +0000 2018,Ross
1072028438180052993,12,0,Mon Dec 10 07:21:11 +0000 2018,Ross
1072025153159204864,4,0,Mon Dec 10 07:08:08 +0000 2018,Ross
1072022736665538560,1,0,Mon Dec 10 06:58:32 +0000 2018,Ross
1072007495181324288,4,0,Mon Dec 10 05:57:58 +0000 2018,Ross
1071997565028036608,64,10,Mon Dec 10 05:18:30 +0000 2018,Ross
1071992907790471168,146,32,Mon Dec 10 05:00:00 +0000 2018,Ross
